total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
125,Z,2026092609,0.20886528333793597,2,62.5,61.5,5000,1638,0.3276,0.31472752385395986,0.34073717977669593,0.4202,2.4082,0.11936929601758672,0.043548298447999984,0.020000000000000018,0.6724,0.6592628202233041,0.6852724761460401
150,Z,2026092610,0.23657041467486734,2,75.0,74.0,5000,1819,0.3638,0.35057432430790486,0.37723479770192886,0.4406,2.627,0.13793287450350739,0.043548298447999984,0.020000000000000018,0.6362,0.6227652022980712,0.6494256756920951
175,Z,2026092611,0.26163905418012345,2,87.5,86.5,5000,2002,0.4004,0.38690017471281474,0.41405275151464066,0.4618,2.7912,0.15559109658334352,0.043548298447999984,0.020000000000000018,0.5996,0.5859472484853594,0.6130998252871853
200,Z,2026092612,0.2843220972237337,2,100.0,99.0,5000,2054,0.4108,0.39723683026378986,0.42450012776320845,0.462,2.9252,0.1723881170100519,0.043548298447999984,0.020000000000000018,0.5892,0.5754998722367916,0.6027631697362101
10,Z,2026093600,0.038821069206884884,4,2.5,1.5,5000,493,0.0986,0.09064215265544256,0.10717415846604927,0.2064,1.7314,0.01612354097611901,0.043548298447999984,0.020000000000000018,0.9014,0.8928258415339507,0.9093578473445574
16,Z,2026093601,0.04975760022524989,4,4.0,3.0,5000,540,0.108,0.09969583027538102,0.11690604804954376,0.2234,1.8436,0.019018107347454405,0.043548298447999984,0.020000000000000018,0.892,0.8830939519504563,0.900304169724619
20,Z,2026093602,0.056904153734414875,4,5.0,4.0,5000,594,0.1188,0.1101230482928192,0.12806224767009236,0.2352,1.9106,0.020938192188270477,0.043548298447999984,0.020000000000000018,0.8812,0.8719377523299077,0.8898769517071808
30,Z,2026093603,0.07427819037576444,4,7.5,6.5,5000,666,0.1332,0.12406265249698341,0.14290053364991054,0.2592,2.099,0.025704936820421298,0.043548298447999984,0.020000000000000018,0.8668,0.8570994663500895,0.8759373475030166
40,Z,2026093604,0.09097098129621856,4,10.0,9.0,5000,777,0.1554,0.14562306056387467,0.16570603961665878,0.2834,2.2576,0.03042425155100692,0.043548298447999984,0.020000000000000018,0.8446,0.8342939603833412,0.8543769394361254
50,Z,2026093605,0.10700923852256872,4,12.5,11.5,5000,866,0.1732,0.16296283403425804,0.1839389359570313,0.3138,2.421,0.035096608315433264,0.043548298447999984,0.020000000000000018,0.8268,0.8160610640429686,0.837037165965742
65,Z,2026093606,0.12989523881428822,4,16.25,15.25,5000,1044,0.2088,0.19775961662333694,0.2202874929894644,0.3492,2.6388,0.04201811808957412,0.043548298447999984,0.020000000000000018,0.7912,0.7797125070105356,0.802240383376663
80,Z,2026093607,0.15144846220462838,4,20.0,19.0,5000,1144,0.2288,0.21736754848001985,0.2406488530549792,0.3722,2.8594,0.04883658000815955,0.043548298447999984,0.020000000000000018,0.7712,0.7593511469450208,0.7826324515199802
100,Z,2026093608,0.17824637790289316,4,25.0,24.0,5000,1334,0.2668,0.2547230831729371,0.2792349730142375,0.3998,3.1408,0.05777021427945955,0.043548298447999984,0.020000000000000018,0.7332000000000001,0.7207650269857625,0.7452769168270629
125,Z,2026093609,0.20886528333793597,4,31.25,30.25,5000,1527,0.3054,0.2927871231637081,0.31831166643330827,0.4324,3.5094,0.0686889065925913,0.043548298447999984,0.020000000000000018,0.6946,0.6816883335666917,0.707212876836292
150,Z,2026093610,0.23657041467486734,4,37.5,36.5,5000,1701,0.3402,0.3271949802380219,0.35345037730361845,0.4522,3.8148,0.07933801543197622,0.043548298447999984,0.020000000000000018,0.6597999999999999,0.6465496226963816,0.6728050197619782
175,Z,2026093611,0.26163905418012345,4,43.75,42.75,5000,1839,0.3678,0.3545403980837297,0.38126258231054355,0.4636,4.096,0.08972419683729693,0.043548298447999984,0.020000000000000018,0.6322,0.6187374176894564,0.6454596019162703
200,Z,2026093612,0.2843220972237337,4,50.0,49.0,5000,2019,0.4038,0.39027876966401126,0.4174689361902178,0.4796,4.372,0.09985394251003055,0.043548298447999984,0.020000000000000018,0.5962000000000001,0.5825310638097823,0.6097212303359887
10,Z,2026094600,0.038821069206884884,8,1.25,0.25,5000,609,0.1218,0.1130238486145853,0.13115684113665596,0.2744,3.4242,0.013698100131888657,0.043548298447999984,0.020000000000000018,0.8782,0.8688431588633441,0.8869761513854147
16,Z,2026094601,0.04975760022524989,8,2.0,1.0,5000,667,0.1334,0.12425652777453164,0.14310635129158425,0.2892,3.5248,0.015154819659661867,0.043548298447999984,0.020000000000000018,0.8666,0.8568936487084158,0.8757434722254683
20,Z,2026094602,0.056904153734414875,8,2.5,1.5,5000,700,0.14,0.13065828057889503,0.14989446482154614,0.3026,3.5958,0.01612354097611901,0.043548298447999984,0.020000000000000018,0.86,0.8501055351784539,0.8693417194211049
30,Z,2026094603,0.07427819037576444,8,3.75,2.75,5000,802,0.1604,0.15048938895068395,0.17083203421039886,0.3216,3.7774,0.018536884883671778,0.043548298447999984,0.020000000000000018,0.8396,0.8291679657896012,0.849510611049316
40,Z,2026094604,0.09097098129621856,8,5.0,4.0,5000,911,0.1822,0.17174586650487023,0.19314208485140816,0.3448,3.9608,0.020938192188270477,0.043548298447999984,0.020000000000000018,0.8178,0.8068579151485918,0.8282541334951298
50,Z,2026094605,0.10700923852256872,8,6.25,5.25,5000,989,0.1978,0.186992567805776,0.20907143124981659,0.3616,4.143,0.02332752292272272,0.043548298447999984,0.020000000000000018,0.8022,0.7909285687501835,0.813007432194224
65,Z,2026094606,0.12989523881428822,8,8.125,7.125,5000,1137,0.2274,0.21599373563468147,0.2392248154657637,0.3854,4.395,0.026889193540669598,0.043548298447999984,0.020000000000000018,0.7726,0.7607751845342363,0.7840062643653185
80,Z,2026094607,0.15144846220462838,8,10.0,9.0,5000,1264,0.2528,0.24094615131947145,0.2650334005221649,0.3994,4.6608,0.03042425155100692,0.043548298447999984,0.020000000000000018,0.7472,0.7349665994778352,0.7590538486805285
100,Z,2026094608,0.17824637790289316,8,12.5,11.5,5000,1414,0.2828,0.27048730953927425,0.2954461801856586,0.4178,4.9856,0.035096608315433264,0.043548298447999984,0.020000000000000018,0.7172000000000001,0.7045538198143414,0.7295126904607258
125,Z,2026094609,0.20886528333793597,8,15.625,14.625,5000,1581,0.3162,0.30345659541585185,0.32922561181915116,0.4376,5.3652,0.04087173099801017,0.043548298447999984,0.020000000000000018,0.6838,0.6707743881808488,0.6965434045841481
150,Z,2026094610,0.23657041467486734,8,18.75,17.75,5000,1742,0.3484,0.33531429001591073,0.36171847721383066,0.4568,5.7258,0.04657511395445174,0.043548298447999984,0.020000000000000018,0.6516,0.6382815227861693,0.6646857099840893
175,Z,2026094611,0.26163905418012345,8,21.875,20.875,5000,1882,0.3764,0.3630707925315636,0.3899189833892547,0.4724,6.1132,0.05220764834994862,0.043548298447999984,0.020000000000000018,0.6235999999999999,0.6100810166107453,0.6369292074684364
200,Z,2026094612,0.2843220972237337,8,25.0,24.0,5000,1972,0.3944,0.3809396093694786,0.4080225292813175,0.476,6.4734,0.05777021427945955,0.043548298447999984,0.020000000000000018,0.6056,0.5919774707186825,0.6190603906305214
16,Z,2026095601,0.04975760022524989,16,1.0,0.0,5000,907,0.1814,0.17096474960085867,0.19232443007853178,0.3622,6.8806,0.013211555000000041,0.043548298447999984,0.020000000000000018,0.8186,0.8076755699214682,0.8290352503991414
20,Z,2026095602,0.056904153734414875,16,1.25,0.25,5000,955,0.191,0.18034314765370751,0.20213129214833786,0.3742,6.9766,0.013698100131888657,0.043548298447999984,0.020000000000000018,0.8089999999999999,0.7978687078516622,0.8196568523462925
30,Z,2026095603,0.07427819037576444,16,1.875,0.875,5000,1016,0.2032,0.19227660489996662,0.21457910297461935,0.3914,7.1786,0.014912336453741959,0.043548298447999984,0.020000000000000018,0.7968,0.7854208970253806,0.8077233951000333
40,Z,2026095604,0.09097098129621856,16,2.5,1.5,5000,1109,0.2218,0.21050033777212482,0.233526811590105,0.4058,7.3496,0.01612354097611901,0.043548298447999984,0.020000000000000018,0.7782,0.766473188409895,0.7894996622278752
50,Z,2026095605,0.10700923852256872,16,3.125,2.125,5000,1184,0.2368,0.22522138237278885,0.24878273593108932,0.4138,7.5206,0.017331721269052025,0.043548298447999984,0.020000000000000018,0.7632,0.7512172640689107,0.7747786176272111
65,Z,2026095606,0.12989523881428822,16,4.0625,3.0625,5000,1289,0.2578,0.24586463310757664,0.27010724171460904,0.4192,7.7644,0.019138337791185844,0.043548298447999984,0.020000000000000018,0.7422,0.7298927582853909,0.7541353668924233
80,Z,2026095607,0.15144846220462838,16,5.0,4.0,5000,1408,0.2816,0.2693043069709813,0.29423102523861977,0.4442,8.0268,0.020938192188270477,0.043548298447999984,0.020000000000000018,0.7183999999999999,0.7057689747613802,0.7306956930290187
100,Z,2026095608,0.17824637790289316,16,6.25,5.25,5000,1516,0.3032,0.2906147172287031,0.3160874502568715,0.4554,8.3726,0.02332752292272272,0.043548298447999984,0.020000000000000018,0.6968,0.6839125497431284,0.709385282771297
125,Z,2026095609,0.20886528333793597,16,7.8125,6.8125,5000,1661,0.3322,0.3192779192634096,0.34537972150935164,0.4612,8.8182,0.026297435260722368,0.043548298447999984,0.020000000000000018,0.6678,0.6546202784906483,0.6807220807365904
150,Z,2026095610,0.23657041467486734,16,9.375,8.375,5000,1789,0.3578,0.34462708057529584,0.3711912538578785,0.4756,9.233,0.029248843532052426,0.043548298447999984,0.020000000000000018,0.6422,0.6288087461421215,0.6553729194247042
175,Z,2026095611,0.26163905418012345,16,10.9375,9.9375,5000,1894,0.3788,0.3654521737753996,0.39233391717608235,0.4852,9.6302,0.03218186302647369,0.043548298447999984,0.020000000000000018,0.6212,0.6076660828239177,0.6345478262246004
200,Z,2026095612,0.2843220972237337,16,12.5,11.5,5000,1991,0.3982,0.3847143872965788,0.41184191681943494,0.4826,10.0362,0.035096608315433264,0.043548298447999984,0.020000000000000018,0.6018,0.5881580831805651,0.6152856127034212
40,Z,2026096604,0.09097098129621856,32,1.25,0.25,5000,1467,0.2934,0.28094185682877454,0.30617535761492315,0.4652,14.1092,0.013698100131888657,0.043548298447999984,0.020000000000000018,0.7066,0.6938246423850769,0.7190581431712255
50,Z,2026096605,0.10700923852256872,32,1.5625,0.5625,5000,1519,0.3038,0.2912071574577138,0.3166940887855267,0.4706,14.3178,0.014305597741616438,0.043548298447999984,0.020000000000000018,0.6961999999999999,0.6833059112144733,0.7087928425422862
65,Z,2026096606,0.12989523881428822,32,2.03125,1.03125,5000,1601,0.3202,0.30741030137172504,0.33326576424771753,0.4766,14.6032,0.015215421519509276,0.043548298447999984,0.020000000000000018,0.6798,0.6667342357522825,0.6925896986282749
80,Z,2026096607,0.15144846220462838,32,2.5,1.5,5000,1660,0.332,0.31908004673558743,0.3451779011179519,0.4848,14.8342,0.01612354097611901,0.043548298447999984,0.020000000000000018,0.6679999999999999,0.6548220988820481,0.6809199532644126
100,Z,2026096608,0.17824637790289316,32,3.125,2.125,5000,1721,0.3442,0.3311550771439227,0.3574841387821572,0.4878,15.1854,0.017331721269052025,0.043548298447999984,0.020000000000000018,0.6557999999999999,0.6425158612178428,0.6688449228560773
125,Z,2026096609,0.20886528333793597,32,3.90625,2.90625,5000,1839,0.3678,0.3545403980837297,0.38126258231054355,0.4894,15.6174,0.018837705314442565,0.043548298447999984,0.020000000000000018,0.6322,0.6187374176894564,0.6454596019162703
150,Z,2026096610,0.23657041467486734,32,4.6875,3.6875,5000,1963,0.3926,0.37915185523842215,0.40621304713937617,0.4914,16.0818,0.020338990505475107,0.043548298447999984,0.020000000000000018,0.6073999999999999,0.5937869528606239,0.6208481447615779
175,Z,2026096611,0.26163905418012345,32,5.46875,4.46875,5000,2064,0.4128,0.39922537167110994,0.4265085155481081,0.489,16.4888,0.021835591503149843,0.043548298447999984,0.020000000000000018,0.5871999999999999,0.5734914844518919,0.6007746283288901
200,Z,2026096612,0.2843220972237337,32,6.25,5.25,5000,2104,0.4208,0.4071818522822426,0.43453975170585457,0.4888,16.925,0.02332752292272272,0.043548298447999984,0.020000000000000018,0.5791999999999999,0.5654602482941454,0.5928181477177574
65,Z,2026097606,0.12989523881428822,64,1.015625,0.015625,5000,1991,0.3982,0.3847143872965788,0.41184191681943494,0.5024,28.062,0.013241978327073689,0.043548298447999984,0.020000000000000018,0.6018,0.5881580831805651,0.6152856127034212
80,Z,2026097607,0.15144846220462838,64,1.25,0.25,5000,1980,0.396,0.3825288854414339,0.4096307965631381,0.4986,28.2942,0.013698100131888657,0.043548298447999984,0.020000000000000018,0.604,0.590369203436862,0.6174711145585661
100,Z,2026097608,0.17824637790289316,64,1.5625,0.5625,5000,2063,0.4126,0.3990265070827761,0.42630768721722,0.4952,28.714,0.014305597741616438,0.043548298447999984,0.020000000000000018,0.5873999999999999,0.57369231278278,0.6009734929172239
125,Z,2026097609,0.20886528333793597,64,1.953125,0.953125,5000,2154,0.4308,0.41713262715983096,0.44457362278936513,0.5036,29.1652,0.015063902665146178,0.043548298447999984,0.020000000000000018,0.5691999999999999,0.5554263772106349,0.582867372840169
150,Z,2026097610,0.23657041467486734,64,2.34375,1.34375,5000,2177,0.4354,0.4217119007722984,0.4491872863190031,0.4872,29.599,0.01582102366241611,0.043548298447999984,0.020000000000000018,0.5646,0.5508127136809968,0.5782880992277015
175,Z,2026097611,0.26163905418012345,64,2.734375,1.734375,5000,2230,0.446,0.4322687079590146,0.45981420385105165,0.4894,30.0372,0.016576962581866583,0.043548298447999984,0.020000000000000018,0.554,0.5401857961489483,0.5677312920409854
200,Z,2026097612,0.2843220972237337,64,3.125,2.125,5000,2237,0.4474,0.43366347762893337,0.46121728461568673,0.4896,30.4624,0.017331721269052025,0.043548298447999984,0.020000000000000018,0.5526,0.5387827153843132,0.5663365223710666
