total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
175,Z,2026090611,0.2957376103575309,0,175,175,5000,2192,0.4384,0.424699031220651,0.4521955496589801,0.464,0.0,0.0,0.0,0.2957376103575309,0.5616,0.5478044503410199,0.575300968779349
200,Z,2026090612,0.31973907382599326,0,200,200,5000,2258,0.4516,0.43784844838569004,0.46542586516259155,0.478,0.0,0.0,0.0,0.31973907382599326,0.5484,0.5345741348374085,0.56215155161431
10,Z,2026091600,0.03389758199465015,1,10.0,8.0,5000,100,0.02,0.016471992331652408,0.024265001535602435,0.0956,0.2924,0.024710729310186863,0.020694096430707243,0.010000000000000009,0.98,0.9757349984643976,0.9835280076683476
16,Z,2026091601,0.0476729902705485,1,16.0,14.0,5000,155,0.031,0.026544386492613793,0.036175717931849795,0.1252,0.4282,0.038757650115542885,0.020694096430707243,0.010000000000000009,0.969,0.9638242820681502,0.9734556135073862
20,Z,2026091602,0.05662966516237983,1,20.0,18.0,5000,197,0.0394,0.03435168327487957,0.045155523756907054,0.1428,0.5208,0.04789086057036496,0.020694096430707243,0.010000000000000009,0.9606,0.954844476243093,0.9656483167251204
30,Z,2026091603,0.07825309155172167,1,30.0,28.0,5000,425,0.085,0.07758493466579117,0.09305225794860628,0.204,0.7426,0.06994048348883514,0.020694096430707243,0.010000000000000009,0.915,0.9069477420513937,0.9224150653342088
40,Z,2026091604,0.09882193099178893,1,40.0,38.0,5000,566,0.1132,0.10471318249826778,0.1222807117264284,0.25,0.916,0.09091473360802937,0.020694096430707243,0.010000000000000009,0.8868,0.8777192882735716,0.8952868175017322
50,Z,2026091605,0.1183876162950116,1,50.0,48.0,5000,725,0.145,0.13551291721422795,0.15503215116676264,0.28,1.0578,0.11086605747824446,0.020694096430707243,0.010000000000000009,0.855,0.8449678488332374,0.864487082785772
65,Z,2026091606,0.1459615967153846,1,65.0,63.0,5000,987,0.1974,0.18660128340716234,0.20866332980998628,0.321,1.2302,0.13898351951609184,0.020694096430707243,0.010000000000000009,0.8026,0.7913366701900137,0.8133987165928377
80,Z,2026091607,0.17154317744253672,1,80.0,78.0,5000,1292,0.2584,0.24645499058953763,0.27071596299031403,0.3524,1.35,0.16506931177379508,0.020694096430707243,0.010000000000000009,0.7416,0.729284037009686,0.7535450094104623
100,Z,2026091608,0.20279997674080963,1,100.0,98.0,5000,1544,0.3088,0.2961451513492108,0.3217484178745791,0.3976,1.4938,0.19694218084439374,0.020694096430707243,0.010000000000000009,0.6912,0.6782515821254209,0.7038548486507892
125,Z,2026091609,0.23772190002569477,1,125.0,123.0,5000,1814,0.3628,0.3495829609811411,0.37622769643258264,0.42,1.6204,0.23255241329113502,0.020694096430707243,0.010000000000000009,0.6372,0.6237723035674174,0.6504170390188588
150,Z,2026091610,0.2685403891569028,1,150.0,148.0,5000,2024,0.4048,0.3912726030911314,0.41847356735920754,0.4334,1.7226,0.2639783331257016,0.020694096430707243,0.010000000000000009,0.5952,0.5815264326407925,0.6087273969088687
